,player,fc
0,@bronzewhale,8959
1,@mb3five,595353
2,@danilogallogallinari,341964
3,@statefarm,47259
4,@realtristan13,3050889
5,@jrue_holiday11,210802
6,@realjaywilliams,275681
7,@alexlen_21,41267
8,@ygtrece,8011255
9,@Raptors905,63647
10,@swipathefox,1311953
11,@JHarden13,9840393
12,@roadtoriches_0,23048
13,@MGMResortsIntl,73490
14,@troywilliams_,41234
15,@bosnianbeast27,397169
16,@iamjamiefoxx,7240218
17,@kingjames,50411571
18,@masfresco,98640
19,@iam_j3,31540
20,@capitalcitygogo,7839
21,@thebledshow,595869
22,@stephensonlance,1870148
23,@meyersleonard11,133
24,@khembirch,10426
25,@lsubasketball,61007
26,@treydaviis,4588
27,@jjwatt,3605727
28,@jasonwilliams55,236045
29,@pr00fessortrill,589090
30,@bam1of1,208750
31,@dlamarc33,14483
32,@furkankorkkmaz,1465
33,@kumhotireusa,6751
34,@thanasis_ante43,482588
35,@skal_lab,92930
36,@MiamiHEAT,3471794
37,@Spurs_Austin,31035
38,@officialzobrown,27799
39,@javalemcgee,1326806
40,@ianou76,52835
41,@dulenader2,52037
42,@juanchiviris41,71148
43,@laclippers,2255523
44,@SacramentoKings,1172045
45,@bobimarjanovic13,338
46,@pharrell,12210222
47,@wayneseldenjr,92402
48,@carmeloanthony,6595056
49,@tpinsonn,127374
50,@NBASummerLeague,233634
51,@kobebryant,9931740
52,@BudweiserUSA,72601
53,@northcoastbluechips,94578
54,@ipjh55,27429
55,@lindsaywhalen,42687
56,@chelseafc,17588273
57,@tomasatoransky,69856
58,@supermariohezonja,83796
59,@fchwpo,1058754
60,@okarowhite,24250
61,@americanairlinesarena,67899
62,@andredrummondd,1122070
63,@jimmybutler,4367054
64,@nbastore,568889
65,@fergski23,47075
66,@MooreMaya,241640
67,@common,3001279
68,@taureanprince,159405
69,@3tross1,356154
70,@normanpowell4,266755
71,@josh_j11,316540
72,@dbacon,226918
73,@joeharris__12,63332
74,@spurs_austin,31035
75,@espn,13296553
76,@the_4th_holiday,62187
77,@jmcalderon8,98745
78,@quavohuncho,13285126
79,@dickssportinggoods,395130
80,@tharealjsimms,119694
81,@cmohutchison,37733
82,@NBA2K,3024610
83,@KendrickLamar,9513497
84,@rjanderson33,62631
85,@nemanjabjelica8,79346
86,@louwillville,929077
87,@graysonjallen,463148
88,@therealpjtucker17,48
89,@troybrown,33
90,@brlive,36515
91,@lakers,8639338
92,@kkorv26,721214
93,@keefmorris5,0
94,@musicbybalance,1300
95,@imisiahthomas,0
96,@rich_holmes22,48539
97,@google,10320772
98,@dwyanewade,14146892
99,@atf_33,169846
100,@littlechrisp,302523
101,@sportsillustrated,1279435
102,@alexbazzell24,37711
103,@nbaontnt,4062249
104,@magicjohnson,1842127
105,@deandre,2127171
106,@teamswish,4391089
107,@spiceadams,1276356
108,@utahjazzsl,0
109,@NBAAcademy,89353
110,@tic_pix,868500
111,@migos,10203249
112,@detroitpistons,930998
113,@cediosman,578814
114,@greenranger14,893247
115,@oraclearena,141571
116,@ishsmith5,41085
117,@NBAGLeague,777242
118,@damianlillard,6140547
119,@mbeasy5,89600
120,@asphaltchronicles,32105
121,@ManuGinobili,1121902
122,@antezizic,60295
123,@laurimarkkanen,312579
124,@lesdogggg,1250216
125,@melvinjrr,23730
126,@balapat,349074
127,@_tonyparker09,465828
128,@nbasummerleague,233638
129,@reellyphent,319
130,@dougmcd03,293845
131,@bensimmons,4321221
132,@tjmcconnell,129404
133,@1tyus,403767
134,@juniorknicks,3595
135,@aplayersprogram,79946
136,@mozg25,194512
137,@BenSimmons,4321221
138,@breannastewart30,175720
139,@kristenledlow,246027
140,@wayne_elli,0
141,@LindsayWhalen,42687
142,@bigticket_hg,350
143,@champagnepapi,58672009
144,@treylyles,167364
145,@gatorsmbk,58997
146,@NBAHistory,3362097
147,@KlayThompson,6745591
148,@isaiahthomas,3658993
149,@Warriors,12459072
150,@brandonknight,156807
151,@mgortat13,160810
152,@officialzhouqi,66582
153,@footlocker,10289789
154,@jeffteague,122456
155,@pushat305,9616
156,@dozier_kid,37319
157,@rayemmanuel,109610
158,@tessamaethompson,2828315
159,@dtheis10,97386
160,@youngheirgordon,982261
161,@Timberwolves,1569332
162,@kareemabduljabbar_33,762022
163,@adr13nsanmiguel,101087
164,@hami,1626
165,@puresweat,127978
166,@dominiquewilkins21,131115
167,@kknox_23,318709
168,@therea1djones,231259
169,@Money23Green,3421989
170,@freshfocussports,2744
171,@3dtv,5602
172,@adbphotoinc,89405
173,@nenehilario_42,169618
174,@JoelEmbiid,3645162
175,@jaytatum0,2450426
176,@hunter_games31,57009
177,@realgranthill,309719
178,@theqarena,470
179,@gwephoto,29919
180,@kporzee,1617006
181,@bennythebull,246464
182,@sterlingbrown23,84230
183,@justintimberlake,55822385
184,@janellemonae,3189631
185,@AmericanExpress,361326
186,@dillonbrooks24,119051
187,@dloading,3202730
188,@DallasMavs,1267919
189,@matrix31,129278
190,@jayloaded0,26811
191,@hoophall,338052
192,@kellyolynyk,161189
193,@Mobil1,19460
194,@callme_nonstop,71100
195,@g,0
196,@longislandnets,10982
197,@twitch,3455992
198,@44bojan,77729
199,@cwallacelac,637
200,@rgvvipers,14973
201,@michaelbjordan,11226696
202,@taylorbennett,259190
203,@deanthony_melton,24979
204,@demar_derozan,2496868
205,@stevenadams,408308
206,@kennethfaried35,518668
207,@chrisdaughtry,253298
208,@thegarden,254000
209,@phoenixmercury,65484
210,@jonasjerebko,174315
211,@RealJayWilliams,275682
212,@e40,1406623
213,@sap,111354
214,@tcraig3_,43573
215,@antdavis23,3937215
216,@chicagosky,67506
217,@jonisaac_01,78661
218,@katielou33,110368
219,@johnhenson31,80764
220,@nolimittb,77199
221,@collinyoungbull,749344
222,@dbook,2443205
223,@desmith4,872249
224,@charliescott,67
225,@jbell,413399
226,@zachlavine8,1884222
227,@okcthunder,4296836
228,@billiejeanking,56569
229,@houseofhoops,232902
230,@jokara95,0
231,@caldwellpope,220078
232,@kellyoubrejr,778346
233,@evanturner,201179
234,@stephencurry30,26286184
235,@bostonmarathon,191462
236,@russwest44,13479700
237,@h_sims14,4298
238,@nbaallstar,1346778
239,@dsabonis11,120862
240,@nyknicks,2144682
241,@panicatthedisco,5120164
242,@noahgphotos,53727
243,@kyrieirving,13056701
244,@ralph,7669
245,@boogiecousins,3014780
246,@jeffhaynesmedia,8544
247,@iamkrislondon,520290
248,@staplescenterla,111020
249,@pottheiser,6299
250,@mannypacquiao,5116279
251,@PelicansNBA,1388043
252,@22wiggins,1935312
253,@larrydn7,498565
254,@UnderArmour,7608496
255,@turner_myles,178526
256,@cavs,7265682
257,@foestar13,288630
258,@j_rob12,28072
259,@michael8easley,314118
260,@qcook323,723826
261,@mbeli21,359534
262,@zachcollins_33,92456
263,@mikescottva,121171
264,@shai,199963
265,@rudygobert27,337445
266,@joeingles7,170605
267,@iam_jamesjohnson,57
268,@therealmobamba,656925
269,@caronbutler,408362
270,@cbrickley603,684584
271,@KarlTowns,2451478
272,@smith30,5551
273,@miamiheat,3471824
274,@dk2house,53345
275,@leaninorg,177004
276,@nvonleh,0
277,@patbev21,291806
278,@yankees,2298069
279,@Pacers,1591067
280,@tiphayes3,33960
281,@RGVVipers,14973
282,@channingfrye,313033
283,@macbo50,157332
284,@1tylerennis,134349
285,@raptors,2919106
286,@chap,111540
287,@chrisbosh,2280491
288,@iamtinathompson,48386
289,@davidluiz_4,18990623
290,@gordongram,6819635
291,@chriswood_5,73203
292,@therealiceman44,29170
293,@hassanwhiteside,715323
294,@giannis_an34,5638764
295,@wisconsinherd,30227
296,@jeremylamb1,115061
297,@mac11,507902
298,@tulis3,361874
299,@fskpart3,200004
300,@cgray209,16012
301,@frenchmontana,11927864
302,@washwizards,1095618
303,@allencrabbe,73474
304,@adidashoops,3012375
305,@reggiemillertnt,370646
306,@jeriangrant,99452
307,@andre,1859070
308,@houseobayne,141444
309,@JimmyButler,4367022
310,@thierryhenry,2295796
311,@liluzivert,9541055
312,@des_linden,141993
313,@hornets,1058278
314,@willthethrillb5,108141
315,@gabunion,13365367
316,@sylvia_fowles,37455
317,@justinbieber,114995808
318,@sviat_10,131987
319,@willyhernangomez,285414
320,@StephenCurry30,26286219
321,@wenyengabriel,60936
322,@jdmccrary,194886
323,@jarriusrobertson,202189
324,@tylawson3,0
325,@spurs,2721963
326,@carislevert,122710
327,@pelicansnba,1388054
328,@averybradleycamps,0
329,@23,10384
330,@realbillrussell,88820
331,@spencerdinwiddie,175359
332,@nbagleague,777242
333,@NBAKICKS,505969
334,@unitedmasters],0
335,@pierretpelican,9397
336,@samlimon_,90
337,@treydavis5,1474
338,@nba,38619174
339,@moritz_weasley,209680
340,@lebrechtmedia,5213
341,@allie14quigs,6332
342,@solohill,27734
343,@daluss_,5939
344,@gmb_chum12,18
345,@jonasjerebko8,0
346,@andrewbogut,30306
347,@Nuggets,987023
348,@coryjoseph,210993
349,@expressmen,147920
350,@jlin7,1863545
351,@stuffmagic,25329
352,@nickfoles,332801
353,@d_dedmon3,52154
354,@s_thornwell0,58796
355,@djstephens30,102307
356,@jakob,70213
357,@ATT,214339
358,@sizzman3,400
359,@shaq,12387428
360,@buddylove242,473336
361,@eji_org,54605
362,@Giannis_An34,5638803
363,@spurscoyote,72308
364,@NBATV,5371654
365,@the_1_dragon,327956
366,@davidnwaba,49777
367,@minnesotalynx,76713
368,@flydre21,164122
369,@mpj,0
370,@rosgo21,227748
371,@kevinhart4real,76787568
372,@markingram22,168
373,@_dameology,0
374,@nbatv,5371657
375,@ry_arch15,77707
376,@biggametae,117557
377,@travisscott,17660901
378,@davidliamkyle,23948
379,@utahjazz,838025
380,@suns,1113654
381,@ecambage,146564
382,@celtics,4282036
383,@DwyaneWade,14146984
384,@ains_mn,228055
385,@dofficialmutombo,316680
386,@tajgibson22,451500
387,@anthonyanderson,1245977
388,@johnwall,4293121
389,@IPROMISESchool,374120
390,@mooremaya,241641
391,@traeyoung,1548036
392,@jcollins20_,127846
393,@eneskanter11,457928
394,@landryshamet,83049
395,@nerd,301580
396,@Cavs,7265685
397,@fmason0,170557
398,@tarikbblack,97355
399,@bhcrusade,1325
400,@masonplumlee,0
401,@mikemancias1,42574
402,@fibawc,246472
403,@mettenarrative,336697
404,@jusanderson1,89671
405,@megalodon20,127874
406,@youtube,20358391
407,@SHAQ,12387445
408,@NYKnicks,2144695
409,@boban,450943
410,@kuzmakyle,178
411,@mobil1,19459
412,@jdg7873,47051
413,@aja22wilson,140149
414,@bigsean,11050868
415,@atlharrythehawk,12405
416,@3jmccollum,1206036
417,@makeawishamerica,313270
418,@matthewdelly,438071
419,@ruuufio,517885
420,@dreamville,982103
421,@jhart,673188
422,@joelembiid,3645185
423,@shelvin,20
424,@blakegriffin32,0
425,@jrich_0,219707
426,@irv_roland,24940
427,@WNBA,664858
428,@YouTube,20358412
429,@USABasketball,3131293
430,@patconnaughton,96748
431,@_dfavors15,79920
432,@georgesniang,61537
433,@ajones,17252
434,@nikstauskas11,147118
435,@bazz,120996
436,@jharden13,9840466
437,@seattlestorm,62855
438,@medinasyracuse,1220
439,@stevenash,924030
440,@ipromiseschool,374120
441,@dwighthoward,1986723
442,@chicagobulls,4496456
443,@nike,89852391
444,@waiters3,354568
445,@rudygay,777947
446,@YgTrece,8011370
447,@7tlc,55223
448,@kevin_huerter,62330
449,@iam1cent,333816
450,@planetpat5,330
451,@DejounteMurray,725637
452,@Gallo_Locknez,15723
453,@leahlabelle,63424
454,@rsherman25,2053304
455,@dwhite921,70291
456,@marcgasol,412760
457,@gordonhayward,1503570
458,@nbacares,587597
459,@NBAALLSTAR,1346778
460,@zhaire_smith,56268
461,@bradbeal3,948213
462,@pacers,1591071
463,@atolliver44,37288
464,@jrnba,156457
465,@kevindurant,0
466,@ottodayporter22,85388
467,@realcoleworld,4842071
468,@gtemp17,40524
469,@codyzeller,32256
470,@OKCBlue,45223
471,@timmyjr10,464822
472,@MinnesotaLynx,76713
473,@_wadeiv,37705
474,@lollapalooza,392909
475,@swaggyp1,3466967
476,@ljff,31
477,@oanunoby,123381
478,@andradaymusic,234966
479,@indianageorge3,218103
480,@Ninja,14132197
481,@fiba,847186
482,@brandonjennings,162
483,@warriors,12459155
484,@justholla7,151252
485,@CP3,9108234
486,@terrellowens,377852
487,@jessicaalba,15966503
488,@all,130551
489,@NBAonTNT,4061932
490,@badbunnypr,18166343
491,@omricasspi18,283977
492,@austinjrivers,345232
493,@DallasWings,44701
494,@leafsquad,104587
495,@sdot1414,666219
496,@winnieharlow,6271589
497,@WashWizards,1095623
498,@empirestatebldg,415512
499,@iso_zo,232729
500,@UtahJazz,838022
501,@kpthrive,18702
502,@spidadmitchell,2420485
503,@dmillerky,26340
504,@teddysphotos,30426644
505,@emmanuelmudiay,383929
506,@nicholascollison,105705
507,@rolls_royce00,86630
508,@aldridge_121,374800
509,@_cd13,56097
510,@Lakers,8639528
511,@gallo_locknez,15722
512,@adamsilvernba,440152
513,@billwalton,52463
514,@ccapela15,274155
515,@trey_duval,0
516,@atlhawks,1055109
517,@ESPN,13296723
518,@k_mid22,174494
519,@oregonmbb,63955
520,@FIBA,847191
521,@_bigjayy_,96816
522,@theofficialai3,6649381
523,@kgarea21,226388
524,@nbaeurope,187578
525,@ncrmuseum,15513
526,@nbahistory,3362135
527,@orlandomagic,919300
528,@demarrecarroll1,201431
529,@SLCStars,8217
530,@zo,6663305
531,@rajonrondo,1137686
532,@sergeibaka,1076956
533,@KnicksGaming,13853
534,@NBAAllStar,1346778
535,@rebelwilson,6544224
536,@demarjaysmith,255499
537,@nikebasketball,11024426
538,@semiojeleye37,79
539,@SkyDigg4,997251
540,@zmane2,3025
541,@samdek7,205284
542,@JanelleMonae,3189636
543,@devinrob1nson,29336
544,@reemix05,44256
545,@omarbensonmiller,109496
546,@rmfycharlotte,1036
547,@jonlopez13,8129
548,@sdinwiddie_2508,0
549,@Suns,1113660
550,@zazapachulia,311514
551,@nba2kleague,119905
552,@NBA2KLeague,119905
553,@jordanclarksons,1230668
554,@de11edonne,390734
555,@tysonchandler,315631
556,@hugh_sheridan,87574
557,@tristanj22,1311268
558,@HoustonRockets,3789869
559,@kyle,7953
560,@malcolmbrogdon92,48
561,@jvalanciunas,258805
562,@kennysmith,299631
563,@rekehavoc1,140175
564,@reggie_jackson,142559
565,@underarmour,7608568
566,@djaugustin,36282
567,@tobiasharris,384483
568,@FS1,270782
569,@ahmad_monk,418278
570,@GRDrive,17972
571,@treyburke,362232
572,@stanimal,303198
573,@olskool888,2624
574,@_alvo_,97626
575,@docrivers,23642
576,@easymoneysniper,11320381
577,@cabs,942
578,@courtneylee,155425
579,@realtracymorgan,68
580,@sixersfranklin,47007
581,@bull1trc,176497
582,@mgmresortsintl,73490
583,@blakeney96,202120
584,@milosteodosic4,181355
585,@wholeteamdot,43346
586,@bportistime,123036
587,@lonniewalkeriv,145404
588,@jjredick,0
589,@finishline,784305
590,@kingrawle,308540
591,@alhorford,533900
592,@brian_babs_babineau,41100
593,@austinjmills,59209
594,@waltdisneyworld,7481362
595,@mikalbridges,83541
596,@nbacoaches,7353
597,@kyle_lowry7,1546201
598,@timberwolves,1569365
599,@Sixers,2015799
600,@swayyvo,6577
601,@iisuperwomanii,8910634
602,@stickity13,467204
603,@nbcsauthentic,340954
604,@official_flo,776058
605,@malcolmbrogdon,0
606,@ebled2,697
607,@daanteee,158058
608,@dorisaburke,57688
609,@bismackbiyombo,113528
610,@LAClippers,2255590
611,@attcenter,15891
612,@jcamerato,6757
613,@jalenbrunson1,100833
614,@shabazznap13r,222499
615,@ohsnapjbsmoove,194201
616,@ruffles,181662
617,@DamianLillard,6140673
618,@meekmill,17136903
619,@houstonrockets,3789878
620,@ATLHawks,1055115
621,@krisdunn3,131904
622,@stancehoops,322816
623,@unclejg8,95
624,@doedoe_10,28822
625,@klaythompson,6745658
626,@elfrid,131388
627,@clydefrazier,5452
628,@scoochstackin,15657
629,@SteveNash,924035
630,@evanfournier10,115689
631,@50mejri,106485
632,@mitchellness,134
633,@wessywes23,174276
634,@jjbarea11,368790
635,@natlyphoto,81570
636,@shanelarkin_0,196422
637,@brooklynnets,1358999
638,@LongIslandNets,10982
639,@kenny,100649
640,@Spurs,2721989
641,@nba2k,3024738
642,@enikonhart,0
643,@NBA2KPlaygrounds,42094
644,@nbakicks,506004
645,@dwightpowell,50380
646,@pskills43,553116
647,@Celtics,4282072
648,@unclejeffgreen,317295
649,@timfraz23,58627
650,@unitedmasters,209701
651,@NBA,38619393
652,@y0bull,200589
653,@pmccaw0,267442
654,@alantwilliams,35280
655,@officialeg10,297706
656,@drewhanlen,187627
657,@paugasol,1361521
658,@impjrose,82063
659,@tissot,154
660,@deandreayton,394807
661,@therealegriff,15156
662,@thibautcourtois,5941782
663,@nba_africa,7427
664,@StJude,308165
665,@wnba,664865
666,@blakegriffin23,3619675
667,@cp3basketballacademy,10209
668,@Raptors,2919139
669,@frank_ntilikina,228241
670,@mkg14,199585
671,@ud40,521483
672,@BlakeGriffin23,3619675
673,@1ngram4,2045911
674,@everybody_hatechriss,130037
675,@rogerfederer,6336419
676,@mike_2reckless,4797
677,@Nike,89852773
678,@obj,13404053
679,@1jordanbell,2420
680,@jeramigrant,142853
681,@flyght5,26
682,@lids,339673
683,@davidjdow,498
684,@DwightHoward,1986725
685,@gardenofdreamsfoundation,22
686,@mavsgg,17633
687,@natalienakase,12195
688,@hazardeden_10,23576841
689,@lukekennard5,208221
690,@kuz,3330129
691,@zach_ballin30,16607
692,@sbird10,272214
693,@raptors905,63648
694,@cp3,9108269
695,@juliusrandle30,789224
696,@fredvanvleet,571328
697,@washmystics,41159
698,@denzelvalentine,188677
699,@paulpierce,794450
700,@manuginobili,1121908
701,@jdot43,169631
702,@paulmillsap4,236675
703,@pjtucker,503935
704,@rickandmorty,3345425
705,@afterschoolallstars,11917
706,@j3vans1,46324
707,@ds17_fg,1507172
708,@iamjustise,636960
709,@stjude,308165
710,@original00g,19
711,@sdotcurry,1950852
712,@utahjazzgaming,3942
713,@burniemiamiheat,24143
714,@candaceparker,472008
715,@bucks,2010484
716,@BreannaStewart30,175720
717,@instagram,306388217
718,@trezz24,167609
719,@omarispellman,46723
720,@darrencollison_,31330
721,@btyphoto,1694
722,@dameology,77603
723,@sportscenter,14367726
724,@BrooklynNets,1359013
725,@briskuno,85594
726,@thonmaker,170636
727,@djkhaled,15848352
728,@wendellcarterjr,157663
729,@ktoli20,19715
730,@nbaacademy,89361
731,@dallasmavs,1267933
732,@gustogummi88,139902
733,@youngamechanger,406299
734,@sloot22,14552
735,@maximilian,256
736,@lukadoncic,2759510
737,@mentornmp,2136
738,@kostas__ante13,469069
739,@arsenal,14771478
740,@kevinlove,3020331
741,@milesbridges,292127
742,@karltowns,2451504
743,@fearthefro95,30570
744,@35_fitz,46696
745,@knicksgaming,13852
746,@jabariparker,520440
747,@thats_g_,140570
748,@beatsbydre,4268399
749,@dzananmusa,60625
750,@beyonce,129264920
751,@sacramentokings,1172080
752,@officialspikelee,1317962
753,@vicoladipo,1388378
754,@darrenrovell,38427
755,@nerlensnoel3,298669
756,@budweiserusa,72605
757,@OKC,920
758,@tmac213,669205
759,@brookiethewookie11,0
760,@bogdanbogdanovic,532977
761,@chiefhasarrived,85925
762,@KobeBryant,9931852
763,@nicbatum88,220303
764,@the2kferguson,0
765,@teamslowmo,136422
766,@antonio_michail,132274
767,@irie,99550
768,@mrjloyd,22443
769,@delonwright,108651
770,@jah8,578072
771,@mache275,559196
772,@djjasonleroux,1840
773,@yutawatanabe12,71513
774,@nuggets,987039
775,@ivicazubac,169452
776,@garydwayne,57582
777,@alexabrines,152110
778,@t,0
779,@moe_harkless,91059
780,@brittneyyevettegriner,277859
781,@la_sparks,88936
782,@chadwickboseman,7027017
783,@guerschony,75986
784,@swish41,849738
785,@dequanmjones,12177
786,@trayfour,2184067
787,@joemurphyphoto,18300
788,@acfresh21,129500
789,@jarrettjack03,111415
790,@sfreemanphoto,5484
791,@sixers,2015825
792,@Google,10320966
793,@gorguidieng,111291
794,@mollysullivantv,18920
795,@atlantadream,28959
796,@memgrizz,781049
797,@james16johnson_,45901
798,@famouslos32,1318756
799,@Paulmillsap4,236674
800,@aarontaos,15375
801,@money23green,3422028
802,@rasualbutler8,41423
803,@Zo,6663393
804,@dukembb,1225746
805,@Bucks,2010507
806,@shaigilalex,82
807,@lrmuzician,559
808,@usabasketball,3131334
809,@nmaahc,181356
810,@memphishustle,11825
811,@bossmann99,401729
812,@nbaonespn,3114807
813,@iamamirjohnson,199462
814,@OKCThunder,4296849
815,@al_horford,0
816,@frenchtouch20,65
817,@hoodie5,227245
818,@markellefultz,2197350
819,@lvaces,49566
820,@ninja,14132195
821,@illwil21,0
822,@jesser,582561
823,@neymarjr,122308000
824,@SAPSports,12100
825,@j_lay_lay,47144
826,@neweracap,1159637
827,@moosemonroe15,127827
828,@redclawshoops,17909
829,@24baze,157619
830,@c_will_21,19103
831,@jmglitxh27,350487
832,@luoldeng9,327282
833,@kocmj,67429
834,@_kw15,1307220
835,@gdhayward,49
836,@jaren,130264
837,@dtaegraham,146372
838,@trailblazers,1512074
839,@quese,85837
840,@godzgift_30,56217
841,@thedr34m,134019
842,@michaeldapaah_,1422304
843,@hbarnes,1134041
844,@uabasketball,2031168
845,@KingJames,50412055
846,@draganbender35,32417
847,@AdidasHoops,3012319
